time,tau_h,r_react,theta_m,theta_act,V_cmd,Kp,Kr,Kd
2.025,0.0,0.41441640749578174,0.42221195153718083,0.4110035889990165,0.024470383120246082,6.542987129484092,6.523930034722613,0.4729960722274014
2.0300000000000002,0.0,0.4159398988374339,0.4218481222355001,0.41092657366822216,0.03215913702031847,6.539698806089856,6.520685346835584,0.4727602050362945
2.035,0.0,0.4176824636929335,0.42151026171763106,0.4108857937726511,0.04035597026985343,6.536412586275767,6.5174417978706565,0.47252414988229635
2.04,0.0,0.4196317543347038,0.4212014909830916,0.41088869464151645,0.04890226199210689,6.533128489689778,6.514199366091203,0.4722878653703028
2.045,0.0,0.4217758750409178,0.42092503328215064,0.41094284991262636,0.05765845641019363,6.529846542544125,6.5109580229739095,0.47205131599673267
2.05,0.0,0.42410336901178836,0.42068416719062784,0.41105581088652793,0.06650249171839147,6.5265667775535725,6.507717733326372,0.47181447461735543
2.055,0.0,0.42660320558890596,0.4204821853042531,0.4112349790775202,0.07532831701272742,6.523289233759824,6.504478455530267,0.47157732477613823
2.06,0.0,0.42926476777269656,0.42032235806268686,0.41148749966085457,0.08404449569825345,6.520013956266218,6.5012401418844386,0.4713398628760522
2.065,0.0,0.4320778400330795,0.42020790225020327,0.41182017367997625,0.09257289343124174,6.516740995903698,6.498002739025348,0.4711021001600831
2.07,0.0,0.4350325964084168,0.4201419537543636,0.4122393870348879,0.10084744836068721,6.513470408846019,6.494766188405165,0.47086406446387286
2.075,0.0,0.4381195888878605,0.42012754419594156,0.41275105442255333,0.1088130211962702,6.510202256189351,6.491530426810462,0.47062580169970153
2.08,0.0,0.44132973607222176,0.42016758107305247,0.41336057654270014,0.1164243224410255,6.506936603508817,6.488295386906911,0.47038737703397676
2.085,0.0,0.44465431210850714,0.4202648310900409,0.41407280901745935,0.12364491397929249,6.503673520402163,6.485060997797621,0.4701488757260564
2.09,0.0,0.44808493589329146,0.42042190636733867,0.4148920416010808,0.13044628209765874,6.500413080028652,6.481827185584798,0.4699104036041437
2.095,0.0,0.4516135605401219,0.4206412532523386,0.4158219863765997,0.1368069789333596,6.497155358649419,6.478593873926225,0.46967208716330194
2.1,0.0,0.45523246310617876,0.4209251434734731,0.4168657737499432,0.14271182928648013,6.493900435173966,6.475360984579699,0.4694340732805744
2.105,0.0,0.45893423457344784,0.4212756674002441,0.41802595515872193,0.14815119969597867,6.4906483907161405,6.472128437930009,0.4691965285521392
2.11,0.0,0.4627117700796947,0.4216947291910366,0.41930451151303005,0.15312032666227848,6.487399308161823,6.468896153494281,0.4689596382668629
2.115,0.0,0.46655825939456547,0.42218404362825873,0.420702866479178,0.15761870089896293,6.484153271749721,6.465664050402627,0.4687236050391628
2.12,0.0,0.470467177636177,0.4227451344567784,0.4222219038046048,0.16164950451152227,6.480910366665938,6.462432047851973,0.4684886471314754
2.125,0.0,0.47443227622359907,0.4233793340568632,0.42386198796348873,0.16521909803090798,6.4776706786525216,6.459200065531711,0.46825499650267954
2.13,0.0,0.4784475740606711,0.424087784296949,0.4256229874780129,0.16833655427303254,6.474434293629812,6.455968024020512,0.46802289662347063
